Age,Country,Gender,Do you want to have kids in the future?,If Yes/Maybe how many kids you plan to have,If No please provide the reason why you don't want kids in the future.
18,India,Male,Yes,3,
32,Slovakia,Male,No,0,No GF
59,Yugoslavia,Male,No,0,"I raised one step-daughter and it was joyful experience, but I don't feel like making some ""extension of myself"", nor to make ""more soldiers and mothers for my party"". There's enough people in this world. I found one and only Love of My Life and want to commit myself to her completely."
22,India,Female,No,0,i’m not pushing watermelons out of buttonholes. 
29,Germany,Male,Yes,3,
21,Romania,Female,Yes,3,
15,India,Female,Yes,2,
18,India,Female,Maybe,1,
23,Saudi Arabia,Female,Yes,5,
18,Norway,Male,Yes,1,
18,Finland,Female,Yes,2,
22,Hungary,Female,No,0,"People around me are always telling me that 'you'll change your mind in the future', but no. Kids aren't for me. As selfish as it sounds I want to have my freedom and live my life. Also there are so many orphan kids and our planet is already overpopulated. For a short period of time I felt like I was alone with not wanting kids, but I discovered a few videos on Youtube and now I know that not wanting kids is a thing and I'm not the only one. "
19,United States ,Male,Yes,3,
18,Estonia,Male,Maybe,2,
17,Czech,Male,No,0,"Suffering, responsibility, possible disabilities, unforeseeable future "
19,Canada,Female,Yes,2,
21,Indonesia,Male,Yes,2,
23,Lithuania,Female,No,0,"They cry and eat and know nothing, just a nuisance"
21,Denmark,Male,Maybe,2,
22,India,Female,Maybe,1,I’d prefer adopting a kid. There’s already enough kids in the world who need parents. 
21,England,Female,No,0,they ugly mofos
18,Germany,Female,Yes,2,
19,India,Male,No,0,"cant handle the stress and also have severe anger issues,im afraid that i might mess them up
"
19,Norway,Male,Yes,2,Need some good people in the world
25,Portugal,Female,No,0,"The world is messed up already, and there’s way more people than necessary."
26,Romania,Male,No,0,Asexual
28,Brazil,Male,No,0,Avoid pain and suffering
22,Romania,Male,No,0,"1. Because I'm homosexual, and don't want an adopted kid to be bullied because of having gay parents (for example)
2. Because I will focus more on career
3. Because I can't be childish/funny with kids, I'm more of a serious person"
27,Austria,Female,No,0,I can't imagine a future with kids
28,Moldova,Male,No,0,the world
23,Hungary,Male,Maybe,,
26,Poland,Male,Maybe,2,
28,Germany,Male,No,0,I could not fathom to ever really love my children
27,Hungary,Male,Yes,2,
23,Poland,Male,Maybe,3,
27,United States ,Male,No,0,"Expensive, time consuming and the world is getting worse anyways for new generation."
34,United States ,Male,No,0,"Too many twisted problems in society. I don't like how things are looking as far as ""woke"" culture, transpeople, interracial relationships, parents who can't discipline their own children, and people who try to slap a label on others like autism or whatever weird ailment is popular at the moment. Everyone seems to be offended by everything and anything. I don't think bringing children into a world like this is wise."
32,Iran,Male,No,0,I don't want to be the reason to bring someone to this cruel world because of my own selfish reasons.
23,Slovenia,Male,No,0,Im not in relationship
19,Phillipines,Male,Yes,2,
19,South Africa,Female,No,0,"Too invested in my career, I won't have time or energy to take care of them. I don't particularly like children and my parents weren't the best at parenting. I don't want to screw up a child. "
29,Germany,Male,No,0,i hate kids
24,Poland,Male,No,0,"I don't like kids, they irritate me and I think that I wouldn't be a good father"
19,South Africa,Male,Maybe,2,
29,Germany,Female,No,0,"In my opinion, the planet is overpopulated. Having a child would also be too expensive and stressful. And the child would have a bad future because of climate change."
17,South Africa,Female,Maybe,3,
19,South Africa,Female,No,0,The cost of living is way to high 
19,South Africa,Female,No,0,I’m gay and I hate children 
19,Philippines,Male,No,0,Disgust at people living in poor condition yet still have kids
20,Saudi Arabia,Male,Yes,5,
29,Brazil,Male,Maybe,1,
25,India,Male,No,0,Too expensive and time consuming.
23,Bangladesh,Male,No,0,I dont want to give birth to a dissapointment that I have turned out to be.
21,Canada,Male,Yes,0,I think that having kids in this day and age is not the brightest of idea with where the world is going. That and also i dont want my kid to have the same issues that i have. I prefer  not having kids and fucked them up. 
23,Bangladesh,Male,No,1,"Too many people. Increasing health hazards/air/water pollution which children are prone to. Increasing corruption in the government. GDP may not be able to sustain the increasing population. Global warming increasing at an alarming rate. If possible, adoption is a viable option.  "
22,Guatemala,Male,No,0,"I don't like kids, Hereditary Mental Illness that could be passed to children and i want to focus on my career "
29,France,Male,Maybe,1,Fear of making their life miserable. 
19,South Africa,Male,Maybe,2,
18,South Africa,Male,No,0,"Too much pooping. Like damn i dont know what is in that babymilk formula but those guys can seriously take a dump. Could honestly have been more lethal to drop a dump truck of baby poop onto Hiroshima than the bomb. Besides the nuclear waste deposits that children generate they are also very loud screamy bois. Not even just when they are young, like seriously those guys just get louder and more drunk as they get older. Thirdly its probably just cheaper to have like three sugar babies than one real baby, and then you also have the added boon of recieving head for your money instead of a headache because your daughter beat a girl at school and didnt get the horse she wanted for christmas because she was on santa's naughty list. And finally ive already got 3 club penguin puffles, a rock named Michael AND several floating biofilm producing bacterial cultures to take care of so a baby would just be overkill, he'd probably chow down on my biofilm bacteria thinking they were pancakes. But hey thats just a theory, a baby theory, thanks for reading."
18,Russia,Male,No,0,The responsibility is way too big for me to handle. I am afraid of not being able to take care of a child and bringing up a decent human being
19,South Africa,Female,Yes,2,
19,South Africa,Female,No,0,"There are many children all over the world without a comfortable, safe and loving home. I would rather adopt that have my own children. "
20,South Africa,Male,Yes,2,
28,Denmark,Male,Yes,3,
19,Indonesia,Female,Maybe,1,
30,Argentina,Male,No,0,"Over population, ustable economy, having others personal proyects and responsabilities"
23,Chile,Male,No,0,The economy is fucked up and i'm fine by myself
25,Tunisina,Male,No,0,Too selfish to care about children
25,France,Male,No,0,Future looks like shit / No success with women / I plan to use my money only for myself
28,Spain,Female,No,0,"Too much fucked up things in world, and not turning better"
24,Iraq,Male,No,0,Because I don't like children and our planet is already overpopulated and I'm gay
32,Poland,Male,No,0,"I am aware that I would be a bad, weak, toxic, inept parent."
25,Hungary ,Female,No,0,"There are multiple reasons.
1. I don't want to go through pregnancy and childbirth. 
2. I work with children and there's nothing better than coming home to a quiet home. 
3. I'm not financially and emotionally stable to take the responsibility.
4. I have a strong feeling that humanity's Era on this planet ends in a few decades and I don't want to create more people to suffer through it.
5. The Earth is already overpopulated. If I ever change my mind, I would adopt.
+1. My boyfriend, with whom I intend to spend my life, doesn't want to pass his bad genetics on (lots of weird health issues, mostly physical but some mental, too)."
34,France,Male,Maybe,1,
23,South Africa,Female,No,0,I won't be a good parent
25,Italy,Male,Maybe,2,
20,South Africa,Male,Yes,2,
22,Norway,Male,No,0,Because they're annoying AF
21,Kosovo,Male,Maybe,1,
22,Colombia,Male,Yes,2,
35,Canadia,Male,Maybe,1,
20,Philippines,Female,No,0,Too much of a hassle 
34,Greece,Male,Yes,4,
21,South Africa,Male,No,0,Don’t want to spend my life looking after kids
23,India,Male,Yes,2,
19,Argentina,Male,Yes,2,
19,Germany,Male,Yes,5,Cz I want to fuck my children and make more children. So infinite children. HAHAHA!
25,Azerbaijan,Male,No,0,No
27,Spain,Male,No,0,They are little pieces of shit
18,Malaysia,Male,Maybe,1,
19,Indonesia,Male,No,0,"My parents are not ready to have a kid, they divorce and left me lonely, they keep dragging me into their problems. Now i dont think im going to be great parents, i dotn want my kid to suffer too"
20,Netherlands,Male,Yes,3,
22,Germany,Male,Maybe,,
32,Romania,Female,No,0,"It is too stressful and takes up too much energy, which I don't have. "
26,Germany,Female,No,0,"- Don't wanna share the money I work hard for

- don't wanna give up my freedom, independence, free time

- don't wanna plan my vacation based on what my child wants/can do

- children need entertainment 24/7 and I'm not an entertainer 

- so much stress and arguing with a child

- you're investing SO much resources into a child (time, money, nerves, your lifetime) and won't ever get anything back from it"
23,India,Male,Yes,2,
20,Netherlands,Female,No,0,they ugly mofos
